Unnamed: 0,ID,emotion,text,tokens
1301,1301,guilt,as the only person in my family into academics  i ought to have looked after my younger  and only  sister better  with respect to her education and life experiences ,"['as', 'the', 'only', 'person', 'in', 'my', 'family', 'into', 'academics', '', 'i', 'ought', 'to', 'have', 'looked', 'after', 'my', 'younger', '', 'and', 'only', '', 'sister', 'better', '', 'with', 'respect', 'to', 'her', 'education', 'and', 'life', 'experiences', '']"
1302,1302,disgust,one night i saw a man being knocked down by two other men  the victim was kicked against his head ,"['one', 'night', 'i', 'saw', 'a', 'man', 'being', 'knocked', 'down', 'by', 'two', 'other', 'men', '', 'the', 'victim', 'was', 'kicked', 'against', 'his', 'head', '']"
1303,1303,guilt,i lost my self control and raised my voice at a child ,"['i', 'lost', 'my', 'self', 'control', 'and', 'raised', 'my', 'voice', 'at', 'a', 'child', '']"
1304,1304,shame,i saw a terrible accident happen and i laughed a lot of the fright and because i was nervous ,"['i', 'saw', 'a', 'terrible', 'accident', 'happen', 'and', 'i', 'laughed', 'a', 'lot', 'of', 'the', 'fright', 'and', 'because', 'i', 'was', 'nervous', '']"
1305,1305,disgust,i felt disgust with a lady teacher who used to nag  to mock  to interrupt everyone of my fellow students each time we had a class with her in our first year ,"['i', 'felt', 'disgust', 'with', 'a', 'lady', 'teacher', 'who', 'used', 'to', 'nag', '', 'to', 'mock', '', 'to', 'interrupt', 'everyone', 'of', 'my', 'fellow', 'students', 'each', 'time', 'we', 'had', 'a', 'class', 'with', 'her', 'in', 'our', 'first', 'year', '']"
1306,1306,disgust,finding out that my best friend was deceiving me ,"['finding', 'out', 'that', 'my', 'best', 'friend', 'was', 'deceiving', 'me', '']"
1307,1307,sadness,at the funeral of a friend about 20 years old  who was killed in a hit and run motorcycle accident ,"['at', 'the', 'funeral', 'of', 'a', 'friend', 'about', '20', 'years', 'old', '', 'who', 'was', 'killed', 'in', 'a', 'hit', 'and', 'run', 'motorcycle', 'accident', '']"
1308,1308,anger,when i got a low grade in an administration course ,"['when', 'i', 'got', 'a', 'low', 'grade', 'in', 'an', 'administration', 'course', '']"
1309,1309,sadness,saw poverty in the countryside ,"['saw', 'poverty', 'in', 'the', 'countryside', '']"
1310,1310,shame,one day in the intimity with my girlfriend i had an ejaculation ,"['one', 'day', 'in', 'the', 'intimity', 'with', 'my', 'girlfriend', 'i', 'had', 'an', 'ejaculation', '']"
1311,1311,disgust,some students talking when other people are having a nap ,"['some', 'students', 'talking', 'when', 'other', 'people', 'are', 'having', 'a', 'nap', '']"
1312,1312,fear,i felt fear some months ago of losing the person whom i loved when she said to me that she didn t love me ,"['i', 'felt', 'fear', 'some', 'months', 'ago', 'of', 'losing', 'the', 'person', 'whom', 'i', 'loved', 'when', 'she', 'said', 'to', 'me', 'that', 'she', 'didn', 't', 'love', 'me', '']"
1313,1313,disgust,from the cigarette smoke  usually i feel disgust from it when i am in a restaurant ,"['from', 'the', 'cigarette', 'smoke', '', 'usually', 'i', 'feel', 'disgust', 'from', 'it', 'when', 'i', 'am', 'in', 'a', 'restaurant', '']"
1314,1314,joy,this happened a year when i was having a hard time  i got admission to do research despite obstacles in the procedure of admission ,"['this', 'happened', 'a', 'year', 'when', 'i', 'was', 'having', 'a', 'hard', 'time', '', 'i', 'got', 'admission', 'to', 'do', 'research', 'despite', 'obstacles', 'in', 'the', 'procedure', 'of', 'admission', '']"
1315,1315,fear,i was spending my summer holidays in a village   my friend and i were coming back from a discotheque at night and we heard a noise from an alley   we were very scared and we got into my friend s house   a moment later  an unknown car picked up a person from this alley ,"['i', 'was', 'spending', 'my', 'summer', 'holidays', 'in', 'a', 'village', '', '', 'my', 'friend', 'and', 'i', 'were', 'coming', 'back', 'from', 'a', 'discotheque', 'at', 'night', 'and', 'we', 'heard', 'a', 'noise', 'from', 'an', 'alley', '', '', 'we', 'were', 'very', 'scared', 'and', 'we', 'got', 'into', 'my', 'friend', 's', 'house', '', '', 'a', 'moment', 'later', '', 'an', 'unknown', 'car', 'picked', 'up', 'a', 'person', 'from', 'this', 'alley', '']"
1316,1316,fear,i was on a trip to phillipines during summer and i was staying in a hotel   the room i was staying in was very silent and had very dim lights   the last night i felt frightened and lay awake   i could hear some sounds around me and dared not open my eyes   i waited for dawn ,"['i', 'was', 'on', 'a', 'trip', 'to', 'phillipines', 'during', 'summer', 'and', 'i', 'was', 'staying', 'in', 'a', 'hotel', '', '', 'the', 'room', 'i', 'was', 'staying', 'in', 'was', 'very', 'silent', 'and', 'had', 'very', 'dim', 'lights', '', '', 'the', 'last', 'night', 'i', 'felt', 'frightened', 'and', 'lay', 'awake', '', '', 'i', 'could', 'hear', 'some', 'sounds', 'around', 'me', 'and', 'dared', 'not', 'open', 'my', 'eyes', '', '', 'i', 'waited', 'for', 'dawn', '']"
1317,1317,guilt,my mother told me that the enveloppes that i had been tearing  i had torn the stamps away  in good faith had been the first day enveloppes which my father had collected as a young man ,"['my', 'mother', 'told', 'me', 'that', 'the', 'enveloppes', 'that', 'i', 'had', 'been', 'tearing', '', 'i', 'had', 'torn', 'the', 'stamps', 'away', '', 'in', 'good', 'faith', 'had', 'been', 'the', 'first', 'day', 'enveloppes', 'which', 'my', 'father', 'had', 'collected', 'as', 'a', 'young', 'man', '']"
1318,1318,joy,getting into this university to do medicine ,"['getting', 'into', 'this', 'university', 'to', 'do', 'medicine', '']"
1319,1319,guilt,i was talking to my mom on the phone and she told me that she had just gotten an award that day in front of all these people and she asked me if i wanted her to send me the article in the temple newsletter to me  i said no very quickly and felt guilty for not being more interested and hurting her feelings ,"['i', 'was', 'talking', 'to', 'my', 'mom', 'on', 'the', 'phone', 'and', 'she', 'told', 'me', 'that', 'she', 'had', 'just', 'gotten', 'an', 'award', 'that', 'day', 'in', 'front', 'of', 'all', 'these', 'people', 'and', 'she', 'asked', 'me', 'if', 'i', 'wanted', 'her', 'to', 'send', 'me', 'the', 'article', 'in', 'the', 'temple', 'newsletter', 'to', 'me', '', 'i', 'said', 'no', 'very', 'quickly', 'and', 'felt', 'guilty', 'for', 'not', 'being', 'more', 'interested', 'and', 'hurting', 'her', 'feelings', '']"
1320,1320,joy,finished a difficult midterm ,"['finished', 'a', 'difficult', 'midterm', '']"
1321,1321,disgust,when a boy put a handful of cooked potatoes down my dress and there was no water to clean up ,"['when', 'a', 'boy', 'put', 'a', 'handful', 'of', 'cooked', 'potatoes', 'down', 'my', 'dress', 'and', 'there', 'was', 'no', 'water', 'to', 'clean', 'up', '']"
1322,1322,disgust,when i red a report in the magazine vesa about an iranian telling what she had lived in the prisons in iran  i felt disgust about that people ,"['when', 'i', 'red', 'a', 'report', 'in', 'the', 'magazine', 'vesa', 'about', 'an', 'iranian', 'telling', 'what', 'she', 'had', 'lived', 'in', 'the', 'prisons', 'in', 'iran', '', 'i', 'felt', 'disgust', 'about', 'that', 'people', '']"
1323,1323,guilt,a friend of mine said in a group that she felt lonely and withdrawn from everyone because of mental deficiency ,"['a', 'friend', 'of', 'mine', 'said', 'in', 'a', 'group', 'that', 'she', 'felt', 'lonely', 'and', 'withdrawn', 'from', 'everyone', 'because', 'of', 'mental', 'deficiency', '']"
1324,1324,guilt,when i was in the puberty i smashed the favourite toy of my little brother because of a fit of rage ,"['when', 'i', 'was', 'in', 'the', 'puberty', 'i', 'smashed', 'the', 'favourite', 'toy', 'of', 'my', 'little', 'brother', 'because', 'of', 'a', 'fit', 'of', 'rage', '']"
1325,1325,fear,i had a dream about my fiancte leaving me and making an end to our relation ,"['i', 'had', 'a', 'dream', 'about', 'my', 'fiancte', 'leaving', 'me', 'and', 'making', 'an', 'end', 'to', 'our', 'relation', '']"
1326,1326,disgust,when a close friend wilfully cheated me ,"['when', 'a', 'close', 'friend', 'wilfully', 'cheated', 'me', '']"
1327,1327,fear,going to a disco by myself to wait for some friends  we had separated and hadn t planned where to meet  i wasn t sure if they were even going to this place so i felt very conscious of being alone ,"['going', 'to', 'a', 'disco', 'by', 'myself', 'to', 'wait', 'for', 'some', 'friends', '', 'we', 'had', 'separated', 'and', 'hadn', 't', 'planned', 'where', 'to', 'meet', '', 'i', 'wasn', 't', 'sure', 'if', 'they', 'were', 'even', 'going', 'to', 'this', 'place', 'so', 'i', 'felt', 'very', 'conscious', 'of', 'being', 'alone', '']"
1328,1328,disgust,saw an arrogant girl walking pass by ,"['saw', 'an', 'arrogant', 'girl', 'walking', 'pass', 'by', '']"
1329,1329,sadness,the loss of the woman who loved me most till today ,"['the', 'loss', 'of', 'the', 'woman', 'who', 'loved', 'me', 'most', 'till', 'today', '']"
1330,1330,joy,when i received the acceptance form for the second year at university ,"['when', 'i', 'received', 'the', 'acceptance', 'form', 'for', 'the', 'second', 'year', 'at', 'university', '']"
1331,1331,disgust,one of my best friends was found lying flat on the road because he was drunk and was taken by the police and put in a cell  i went to see him the following morning  the place was really a mess and was smelling badly  i didn t like it ,"['one', 'of', 'my', 'best', 'friends', 'was', 'found', 'lying', 'flat', 'on', 'the', 'road', 'because', 'he', 'was', 'drunk', 'and', 'was', 'taken', 'by', 'the', 'police', 'and', 'put', 'in', 'a', 'cell', '', 'i', 'went', 'to', 'see', 'him', 'the', 'following', 'morning', '', 'the', 'place', 'was', 'really', 'a', 'mess', 'and', 'was', 'smelling', 'badly', '', 'i', 'didn', 't', 'like', 'it', '']"
1332,1332,shame,having finally to admit i was wrong  after having denied it for a long time ,"['having', 'finally', 'to', 'admit', 'i', 'was', 'wrong', '', 'after', 'having', 'denied', 'it', 'for', 'a', 'long', 'time', '']"
1333,1333,anger,a murder ,"['a', 'murder', '']"
1334,1334,guilt,i took pharmacology books from my friend s desk without permission and i was found guilty ,"['i', 'took', 'pharmacology', 'books', 'from', 'my', 'friend', 's', 'desk', 'without', 'permission', 'and', 'i', 'was', 'found', 'guilty', '']"
1335,1335,fear,suddenly found out that i was the lasr one to leave the anatomy room ,"['suddenly', 'found', 'out', 'that', 'i', 'was', 'the', 'lasr', 'one', 'to', 'leave', 'the', 'anatomy', 'room', '']"
1336,1336,anger,i experienced this when one of my friends reported to the headmaster that i had gone out for beer  whilst the information was not true at all  so i had to fight the friend before the headmaster ,"['i', 'experienced', 'this', 'when', 'one', 'of', 'my', 'friends', 'reported', 'to', 'the', 'headmaster', 'that', 'i', 'had', 'gone', 'out', 'for', 'beer', '', 'whilst', 'the', 'information', 'was', 'not', 'true', 'at', 'all', '', 'so', 'i', 'had', 'to', 'fight', 'the', 'friend', 'before', 'the', 'headmaster', '']"
1337,1337,anger,during the short period of my unemployment about six years back ,"['during', 'the', 'short', 'period', 'of', 'my', 'unemployment', 'about', 'six', 'years', 'back', '']"
1338,1338,disgust,a rich man expressing disgust towards an alcoholic ,"['a', 'rich', 'man', 'expressing', 'disgust', 'towards', 'an', 'alcoholic', '']"
1339,1339,shame,i took the tram without paying  there were many people around me when i was caught by a controller  i felt ashamed but also angry ,"['i', 'took', 'the', 'tram', 'without', 'paying', '', 'there', 'were', 'many', 'people', 'around', 'me', 'when', 'i', 'was', 'caught', 'by', 'a', 'controller', '', 'i', 'felt', 'ashamed', 'but', 'also', 'angry', '']"
1340,1340,fear,i wanted to get in contact with a girl i loved  but i was afraid she would refuse me ,"['i', 'wanted', 'to', 'get', 'in', 'contact', 'with', 'a', 'girl', 'i', 'loved', '', 'but', 'i', 'was', 'afraid', 'she', 'would', 'refuse', 'me', '']"
1341,1341,fear,car accident in the middle of the night ,"['car', 'accident', 'in', 'the', 'middle', 'of', 'the', 'night', '']"
1342,1342,anger,while at school i had to write an essay for doing something wrong that i didn t do  i wrote the essay about how i was mistreated and got saturday morning detention along with a few other kids  but they didn t show up ,"['while', 'at', 'school', 'i', 'had', 'to', 'write', 'an', 'essay', 'for', 'doing', 'something', 'wrong', 'that', 'i', 'didn', 't', 'do', '', 'i', 'wrote', 'the', 'essay', 'about', 'how', 'i', 'was', 'mistreated', 'and', 'got', 'saturday', 'morning', 'detention', 'along', 'with', 'a', 'few', 'other', 'kids', '', 'but', 'they', 'didn', 't', 'show', 'up', '']"
1343,1343,sadness,when i had to leave my mother and my sister after a week s visit ,"['when', 'i', 'had', 'to', 'leave', 'my', 'mother', 'and', 'my', 'sister', 'after', 'a', 'week', 's', 'visit', '']"
1344,1344,sadness,when my dog died   i had reared it for nearly three years   it had been ill for several days and had not eaten anything   one morning i found it dead ,"['when', 'my', 'dog', 'died', '', '', 'i', 'had', 'reared', 'it', 'for', 'nearly', 'three', 'years', '', '', 'it', 'had', 'been', 'ill', 'for', 'several', 'days', 'and', 'had', 'not', 'eaten', 'anything', '', '', 'one', 'morning', 'i', 'found', 'it', 'dead', '']"
1345,1345,fear,i got a very nasty electrical shock when i was tampering with some electrical applainces ,"['i', 'got', 'a', 'very', 'nasty', 'electrical', 'shock', 'when', 'i', 'was', 'tampering', 'with', 'some', 'electrical', 'applainces', '']"
1346,1346,sadness,to buy a car and didn t like the business and the car ,"['to', 'buy', 'a', 'car', 'and', 'didn', 't', 'like', 'the', 'business', 'and', 'the', 'car', '']"
1347,1347,disgust,they asked me to throw the rubbish into a dustbin which had some awful liquid accumulated at the bottom ,"['they', 'asked', 'me', 'to', 'throw', 'the', 'rubbish', 'into', 'a', 'dustbin', 'which', 'had', 'some', 'awful', 'liquid', 'accumulated', 'at', 'the', 'bottom', '']"
1348,1348,shame,when i was a child  i thought that i had to be ashamed when asking and doing certain forbidden things ,"['when', 'i', 'was', 'a', 'child', '', 'i', 'thought', 'that', 'i', 'had', 'to', 'be', 'ashamed', 'when', 'asking', 'and', 'doing', 'certain', 'forbidden', 'things', '']"
1349,1349,guilt,accidentally dropped a friends camera flash  so that it was broken ,"['accidentally', 'dropped', 'a', 'friends', 'camera', 'flash', '', 'so', 'that', 'it', 'was', 'broken', '']"
1350,1350,guilt,when i had had the possibility to act or to do certain activity better but i had not done it because of reluctance or carelessness ,"['when', 'i', 'had', 'had', 'the', 'possibility', 'to', 'act', 'or', 'to', 'do', 'certain', 'activity', 'better', 'but', 'i', 'had', 'not', 'done', 'it', 'because', 'of', 'reluctance', 'or', 'carelessness', '']"
1351,1351,disgust,the carterer refused to give me sugar to add to my tea saying that there was no sugar whilst it was there  so i left the cafe disgusted without taking the tea ,"['the', 'carterer', 'refused', 'to', 'give', 'me', 'sugar', 'to', 'add', 'to', 'my', 'tea', 'saying', 'that', 'there', 'was', 'no', 'sugar', 'whilst', 'it', 'was', 'there', '', 'so', 'i', 'left', 'the', 'cafe', 'disgusted', 'without', 'taking', 'the', 'tea', '']"
1352,1352,anger,when they changed my office to another room without my agreement ,"['when', 'they', 'changed', 'my', 'office', 'to', 'another', 'room', 'without', 'my', 'agreement', '']"
1353,1353,sadness,my girlfriend wanted to breakup for an indefinite amt  of time  she said that she couldn t commit herself fully to the relationship without going out with other people  i was her first boyfriend ,"['my', 'girlfriend', 'wanted', 'to', 'breakup', 'for', 'an', 'indefinite', 'amt', '', 'of', 'time', '', 'she', 'said', 'that', 'she', 'couldn', 't', 'commit', 'herself', 'fully', 'to', 'the', 'relationship', 'without', 'going', 'out', 'with', 'other', 'people', '', 'i', 'was', 'her', 'first', 'boyfriend', '']"
1354,1354,sadness,we got news that my  almost  21 years old brother died while visiting europe of a cerebral hemorhage  it finally hit me an hour after we saw his corpse in the coffin  it felt like a door between himself and everything had closed and locked forever ,"['we', 'got', 'news', 'that', 'my', '', 'almost', '', '21', 'years', 'old', 'brother', 'died', 'while', 'visiting', 'europe', 'of', 'a', 'cerebral', 'hemorhage', '', 'it', 'finally', 'hit', 'me', 'an', 'hour', 'after', 'we', 'saw', 'his', 'corpse', 'in', 'the', 'coffin', '', 'it', 'felt', 'like', 'a', 'door', 'between', 'himself', 'and', 'everything', 'had', 'closed', 'and', 'locked', 'forever', '']"
1355,1355,guilt,telling my parents that i did not get into a good university ,"['telling', 'my', 'parents', 'that', 'i', 'did', 'not', 'get', 'into', 'a', 'good', 'university', '']"
1356,1356,shame,when i had to walk home from the bus stop in a skirt that i had soiled   it drew a lot of attention and they all seemed to want to see the blood stains ,"['when', 'i', 'had', 'to', 'walk', 'home', 'from', 'the', 'bus', 'stop', 'in', 'a', 'skirt', 'that', 'i', 'had', 'soiled', '', '', 'it', 'drew', 'a', 'lot', 'of', 'attention', 'and', 'they', 'all', 'seemed', 'to', 'want', 'to', 'see', 'the', 'blood', 'stains', '']"
1357,1357,joy,when i began to date a boy with whom i am till now  this was 16 months ago ,"['when', 'i', 'began', 'to', 'date', 'a', 'boy', 'with', 'whom', 'i', 'am', 'till', 'now', '', 'this', 'was', '16', 'months', 'ago', '']"
1358,1358,anger,when i was dismissed unjustly from the firm where i worked  because there where persons that didn t have problems  and wouldn t miss in the jobs they occupied if they were dismissed ,"['when', 'i', 'was', 'dismissed', 'unjustly', 'from', 'the', 'firm', 'where', 'i', 'worked', '', 'because', 'there', 'where', 'persons', 'that', 'didn', 't', 'have', 'problems', '', 'and', 'wouldn', 't', 'miss', 'in', 'the', 'jobs', 'they', 'occupied', 'if', 'they', 'were', 'dismissed', '']"
1359,1359,disgust,when i was a child  one day while playing  i fell up to my waist in mud ,"['when', 'i', 'was', 'a', 'child', '', 'one', 'day', 'while', 'playing', '', 'i', 'fell', 'up', 'to', 'my', 'waist', 'in', 'mud', '']"
1360,1360,anger,i went to the dining hall and found that the cooks were cleaning the plates and there was no food for me  and the blue birds   security guards  were busy eating the food that was supposed to be for me ,"['i', 'went', 'to', 'the', 'dining', 'hall', 'and', 'found', 'that', 'the', 'cooks', 'were', 'cleaning', 'the', 'plates', 'and', 'there', 'was', 'no', 'food', 'for', 'me', '', 'and', 'the', 'blue', 'birds', '', '', 'security', 'guards', '', 'were', 'busy', 'eating', 'the', 'food', 'that', 'was', 'supposed', 'to', 'be', 'for', 'me', '']"
1361,1361,disgust,seeing a pornographic film when looking for a place to live ,"['seeing', 'a', 'pornographic', 'film', 'when', 'looking', 'for', 'a', 'place', 'to', 'live', '']"
1362,1362,anger,towards wife s laziness in not performing her usual duties because of television watching ,"['towards', 'wife', 's', 'laziness', 'in', 'not', 'performing', 'her', 'usual', 'duties', 'because', 'of', 'television', 'watching', '']"
1363,1363,sadness,i dreamt of my father s death while i was at secondary school   i was screaming at the top of my voice and was woken up by my friend   that day i was really sad ,"['i', 'dreamt', 'of', 'my', 'father', 's', 'death', 'while', 'i', 'was', 'at', 'secondary', 'school', '', '', 'i', 'was', 'screaming', 'at', 'the', 'top', 'of', 'my', 'voice', 'and', 'was', 'woken', 'up', 'by', 'my', 'friend', '', '', 'that', 'day', 'i', 'was', 'really', 'sad', '']"
1364,1364,joy,always when i meet the person i love ,"['always', 'when', 'i', 'meet', 'the', 'person', 'i', 'love', '']"
1365,1365,disgust,disgust is a feeling that i have never experienced with peoplie but   on the other hand  it has been with repulsive animals  i e snakes on t v ,"['disgust', 'is', 'a', 'feeling', 'that', 'i', 'have', 'never', 'experienced', 'with', 'peoplie', 'but', '', '', 'on', 'the', 'other', 'hand', '', 'it', 'has', 'been', 'with', 'repulsive', 'animals', '', 'i', 'e', 'snakes', 'on', 't', 'v', '']"
1366,1366,fear,i was skiing with friends and they wanted to ski jump  i did not want to be left behind  so i braced myself and followed them ,"['i', 'was', 'skiing', 'with', 'friends', 'and', 'they', 'wanted', 'to', 'ski', 'jump', '', 'i', 'did', 'not', 'want', 'to', 'be', 'left', 'behind', '', 'so', 'i', 'braced', 'myself', 'and', 'followed', 'them', '']"
1367,1367,disgust,when somebody who had been a bully and had acted cruelly to others who were unable to defend themselves was taken down a few notches and he began to grovel  i was disgusted with his grovelling and the manner in which he had treated others ,"['when', 'somebody', 'who', 'had', 'been', 'a', 'bully', 'and', 'had', 'acted', 'cruelly', 'to', 'others', 'who', 'were', 'unable', 'to', 'defend', 'themselves', 'was', 'taken', 'down', 'a', 'few', 'notches', 'and', 'he', 'began', 'to', 'grovel', '', 'i', 'was', 'disgusted', 'with', 'his', 'grovelling', 'and', 'the', 'manner', 'in', 'which', 'he', 'had', 'treated', 'others', '']"
1368,1368,guilt,when i lied to my mum  who later came to know that what i had been teling her was false ,"['when', 'i', 'lied', 'to', 'my', 'mum', '', 'who', 'later', 'came', 'to', 'know', 'that', 'what', 'i', 'had', 'been', 'teling', 'her', 'was', 'false', '']"
1369,1369,anger,someone signed up for a workshift at the co op where i live and she did not want to work the switchboard  i became very angry  she had mentioned earlier that she wanted and needed the workshift to me so i did not sign up ,"['someone', 'signed', 'up', 'for', 'a', 'workshift', 'at', 'the', 'co', 'op', 'where', 'i', 'live', 'and', 'she', 'did', 'not', 'want', 'to', 'work', 'the', 'switchboard', '', 'i', 'became', 'very', 'angry', '', 'she', 'had', 'mentioned', 'earlier', 'that', 'she', 'wanted', 'and', 'needed', 'the', 'workshift', 'to', 'me', 'so', 'i', 'did', 'not', 'sign', 'up', '']"
1370,1370,disgust,a friend prepared a soup with chicken heads and invited me to eat it  i saw the eyes staring at me and the tongues hanging out of the bills  i was so disgusted that i felt nausea and had to leave the room ,"['a', 'friend', 'prepared', 'a', 'soup', 'with', 'chicken', 'heads', 'and', 'invited', 'me', 'to', 'eat', 'it', '', 'i', 'saw', 'the', 'eyes', 'staring', 'at', 'me', 'and', 'the', 'tongues', 'hanging', 'out', 'of', 'the', 'bills', '', 'i', 'was', 'so', 'disgusted', 'that', 'i', 'felt', 'nausea', 'and', 'had', 'to', 'leave', 'the', 'room', '']"
1371,1371,shame,i am troubled by hair growing in my neck  i was troubled by this for a long time and was much ashamed when someone brought his her hands close to my face ,"['i', 'am', 'troubled', 'by', 'hair', 'growing', 'in', 'my', 'neck', '', 'i', 'was', 'troubled', 'by', 'this', 'for', 'a', 'long', 'time', 'and', 'was', 'much', 'ashamed', 'when', 'someone', 'brought', 'his', 'her', 'hands', 'close', 'to', 'my', 'face', '']"
1372,1372,guilt,i live with my boyfriend  we have a close relationship  i fell in love with another man ,"['i', 'live', 'with', 'my', 'boyfriend', '', 'we', 'have', 'a', 'close', 'relationship', '', 'i', 'fell', 'in', 'love', 'with', 'another', 'man', '']"
1373,1373,anger,insulted for no reason ,"['insulted', 'for', 'no', 'reason', '']"
1374,1374,shame,on own reading book  recall came to mind of slight sexual exploitation of a female  years ago  i e  had her on even for sexual motives ,"['on', 'own', 'reading', 'book', '', 'recall', 'came', 'to', 'mind', 'of', 'slight', 'sexual', 'exploitation', 'of', 'a', 'female', '', 'years', 'ago', '', 'i', 'e', '', 'had', 'her', 'on', 'even', 'for', 'sexual', 'motives', '']"
1375,1375,shame,a friend of mine had said something about not liking to come to my place just before coming to my place    in the meanwhile i got to learn about this from another friend of mine and when she arrived at my place i really treated her badly   i was later ashamed of the way i had treated someone when the person was at my place ,"['a', 'friend', 'of', 'mine', 'had', 'said', 'something', 'about', 'not', 'liking', 'to', 'come', 'to', 'my', 'place', 'just', 'before', 'coming', 'to', 'my', 'place', '', '', '', 'in', 'the', 'meanwhile', 'i', 'got', 'to', 'learn', 'about', 'this', 'from', 'another', 'friend', 'of', 'mine', 'and', 'when', 'she', 'arrived', 'at', 'my', 'place', 'i', 'really', 'treated', 'her', 'badly', '', '', 'i', 'was', 'later', 'ashamed', 'of', 'the', 'way', 'i', 'had', 'treated', 'someone', 'when', 'the', 'person', 'was', 'at', 'my', 'place', '']"
1376,1376,shame,when a close friend entrusted me with a secret and i let the cat out of the bag ,"['when', 'a', 'close', 'friend', 'entrusted', 'me', 'with', 'a', 'secret', 'and', 'i', 'let', 'the', 'cat', 'out', 'of', 'the', 'bag', '']"
1377,1377,sadness,when i missed my train this morning  i felt sad for some time ,"['when', 'i', 'missed', 'my', 'train', 'this', 'morning', '', 'i', 'felt', 'sad', 'for', 'some', 'time', '']"
1378,1378,shame,my inability to assert myself positively in a group ,"['my', 'inability', 'to', 'assert', 'myself', 'positively', 'in', 'a', 'group', '']"
1379,1379,guilt,i lost a conference because i hadn t got in touch with a certain person to inform her that i would go with her  i thought she knew what i wanted ,"['i', 'lost', 'a', 'conference', 'because', 'i', 'hadn', 't', 'got', 'in', 'touch', 'with', 'a', 'certain', 'person', 'to', 'inform', 'her', 'that', 'i', 'would', 'go', 'with', 'her', '', 'i', 'thought', 'she', 'knew', 'what', 'i', 'wanted', '']"
1380,1380,shame,once i spoke without thinking very much   it was quite a nonsense ,"['once', 'i', 'spoke', 'without', 'thinking', 'very', 'much', '', '', 'it', 'was', 'quite', 'a', 'nonsense', '']"
1381,1381,anger,in a course i thought that i deserved good marks but i only got ordinary marks with no justification as to why i was given these marks ,"['in', 'a', 'course', 'i', 'thought', 'that', 'i', 'deserved', 'good', 'marks', 'but', 'i', 'only', 'got', 'ordinary', 'marks', 'with', 'no', 'justification', 'as', 'to', 'why', 'i', 'was', 'given', 'these', 'marks', '']"
1382,1382,disgust,when a skunk invaded camp ,"['when', 'a', 'skunk', 'invaded', 'camp', '']"
1383,1383,disgust,doing this pointless questionnaire ,"['doing', 'this', 'pointless', 'questionnaire', '']"
1384,1384,shame,failing an examn ,"['failing', 'an', 'examn', '']"
1385,1385,joy,the day i got a telegram telling me that i had been selected for a b a at unza   i felt happy because i had not expected to be selected ,"['the', 'day', 'i', 'got', 'a', 'telegram', 'telling', 'me', 'that', 'i', 'had', 'been', 'selected', 'for', 'a', 'b', 'a', 'at', 'unza', '', '', 'i', 'felt', 'happy', 'because', 'i', 'had', 'not', 'expected', 'to', 'be', 'selected', '']"
1386,1386,fear,before the examn ,"['before', 'the', 'examn', '']"
1387,1387,disgust,i have a horror of spiders and snakes  on a walk through the wood i saw the body of a slow worm  without the head  ,"['i', 'have', 'a', 'horror', 'of', 'spiders', 'and', 'snakes', '', 'on', 'a', 'walk', 'through', 'the', 'wood', 'i', 'saw', 'the', 'body', 'of', 'a', 'slow', 'worm', '', 'without', 'the', 'head', '', '']"
1388,1388,joy,when i get a hug from someone i love ,"['when', 'i', 'get', 'a', 'hug', 'from', 'someone', 'i', 'love', '']"
1389,1389,anger,when i was accused of having planned my friend s outing at secondary school  boarding  as we were not allowed to go out ,"['when', 'i', 'was', 'accused', 'of', 'having', 'planned', 'my', 'friend', 's', 'outing', 'at', 'secondary', 'school', '', 'boarding', '', 'as', 'we', 'were', 'not', 'allowed', 'to', 'go', 'out', '']"
1390,1390,guilt,in a playground i was playing at the seesaw with a little niece  i wanted to stop but nobody came to help me  when i got off  all alone the seesaw fell down with a big smash  my niece got hurt above her eye  now there is a scar ,"['in', 'a', 'playground', 'i', 'was', 'playing', 'at', 'the', 'seesaw', 'with', 'a', 'little', 'niece', '', 'i', 'wanted', 'to', 'stop', 'but', 'nobody', 'came', 'to', 'help', 'me', '', 'when', 'i', 'got', 'off', '', 'all', 'alone', 'the', 'seesaw', 'fell', 'down', 'with', 'a', 'big', 'smash', '', 'my', 'niece', 'got', 'hurt', 'above', 'her', 'eye', '', 'now', 'there', 'is', 'a', 'scar', '']"
1391,1391,anger,insulted by some stupid people ,"['insulted', 'by', 'some', 'stupid', 'people', '']"
1392,1392,disgust,i felt disgust with a man i had trusted and respected  to whose problems i had always shown deep understanding ,"['i', 'felt', 'disgust', 'with', 'a', 'man', 'i', 'had', 'trusted', 'and', 'respected', '', 'to', 'whose', 'problems', 'i', 'had', 'always', 'shown', 'deep', 'understanding', '']"
1393,1393,disgust,the repression of rioting and non rioting  blacks  in south africa by the police of that  democracy  ,"['the', 'repression', 'of', 'rioting', 'and', 'non', 'rioting', '', 'blacks', '', 'in', 'south', 'africa', 'by', 'the', 'police', 'of', 'that', '', 'democracy', '', '']"
1394,1394,anger,i felt anger at my roommate due to his habit of leaving dirty dishes in the sink and generally not cleaning after himself ,"['i', 'felt', 'anger', 'at', 'my', 'roommate', 'due', 'to', 'his', 'habit', 'of', 'leaving', 'dirty', 'dishes', 'in', 'the', 'sink', 'and', 'generally', 'not', 'cleaning', 'after', 'himself', '']"
